,userId,movieId,rating,timestamp
0,496,112852,3.0,1415520462
1,391,1947,4.0,1030945141
2,387,1562,1.5,1095041022
3,474,2716,4.5,1053020930
4,483,88125,4.5,1311337237
5,375,344,4.0,1225314371
6,438,4388,2.5,1105654394
7,534,98491,4.0,1459792458
8,288,2719,2.0,976138991
9,288,1287,4.0,978465510
10,266,135,1.0,944891365
11,414,1040,3.0,965067631
12,599,2291,4.0,1498498815
13,381,52975,4.0,1187320040
14,474,3125,4.0,1014924099
15,182,3997,3.0,1063282530
16,301,46578,4.0,1211378321
17,338,27773,4.0,1530148366
18,391,10,3.0,1030944309
19,606,32862,4.0,1171813113
20,76,6539,2.0,1439168232
21,606,6789,4.0,1171375616
22,477,5449,4.0,1200946448
23,510,27790,3.0,1141159659
24,605,900,3.0,1277094974
25,288,30825,3.5,1128356997
26,290,1213,5.0,974938755
27,465,111,5.0,959895977
28,346,7013,4.0,1155066817
29,280,8638,4.5,1348534032
30,388,33615,5.0,1386694280
31,525,26662,4.0,1476480766
32,21,3462,3.0,1407617682
33,599,5016,3.0,1519243183
34,187,27660,4.5,1161849499
35,610,71910,2.5,1493848618
36,150,648,4.0,854203072
37,480,1320,2.0,1179178804
38,520,59315,5.0,1326610535
39,341,115149,3.5,1487203165
40,230,1387,1.0,1196304828
41,509,98491,4.0,1436083333
42,603,527,3.0,953925102
43,462,2411,1.0,1174438240
44,6,180,2.0,845555006
45,318,6539,3.5,1237233388
46,220,4027,5.0,1230060173
47,284,329,3.0,832695208
48,365,2005,3.0,1488333357
49,600,1263,5.0,1237743630
50,321,141,4.0,843212595
51,500,1875,4.0,1005527980
52,600,53322,1.0,1237851956
53,18,54272,3.5,1455232001
54,318,5989,4.0,1254132905
55,600,1693,1.0,1237759778
56,279,858,4.0,1506394191
57,249,4558,3.5,1354108136
58,599,663,2.0,1519185163
59,151,135,3.0,855947338
60,414,8836,2.5,1125295038
61,247,139385,5.0,1467646385
62,305,67923,4.0,1460304830
63,157,2686,3.0,992480036
64,414,30812,3.5,1216146615
65,20,2941,4.0,1054147411
66,3,1371,3.0,1306463561
67,249,93326,3.5,1347887090
68,246,4886,4.5,1354126516
69,573,5502,3.0,1248842682
70,509,110781,2.5,1436000431
71,36,1376,2.0,1100803435
72,318,3751,3.5,1262632193
73,567,80463,3.5,1525286310
74,225,1259,5.0,949111340
75,219,3248,2.0,1198782725
76,411,253,3.0,835532100
77,489,1391,2.5,1332773523
78,247,115713,5.0,1467644193
79,610,2022,3.5,1479542193
80,525,1954,3.5,1476482379
81,377,1200,4.5,1340343440
82,596,93510,3.5,1535827450
83,387,2455,3.5,1154834601
84,89,71535,3.5,1520408972
85,279,1222,4.0,1506394405
86,274,455,2.0,1171785330
87,286,1923,3.0,1119561952
88,610,4159,2.5,1493846917
89,210,77795,3.5,1533667604
90,509,93134,3.5,1435998203
91,380,147384,3.0,1494697398
92,448,1027,3.0,1019138960
93,600,4321,3.0,1237858433
94,50,3868,3.0,1514238939
95,206,141,4.0,850763267
96,97,3555,4.0,1043382848
97,555,3408,4.0,978839750
98,599,5450,2.0,1519233000
99,436,460,3.0,833531495
100,387,781,2.5,1094940645
101,561,7458,4.0,1491091452
102,599,75,1.0,1519353713
103,17,2959,4.5,1305696867
104,288,5989,3.5,1071523192
105,226,2514,2.5,1095694744
106,309,930,4.0,1166068873
107,51,2797,5.0,1230929516
108,288,2770,4.0,978559623
109,603,3246,4.0,953927375
110,453,785,4.0,1005967120
111,217,870,1.0,955945548
112,226,6934,2.5,1096422089
113,482,4270,4.0,1105396569
114,582,74458,4.0,1446792653
115,186,1876,4.0,1031072369
116,409,111,5.0,969059983
117,448,119141,3.5,1448050198
118,317,41997,2.0,1430517243
119,438,3316,2.0,1105672082
120,587,1292,4.0,953138131
121,153,1580,0.5,1525552893
122,444,589,4.0,839311109
123,602,501,2.0,840876032
124,438,2231,3.0,1105671103
125,160,1370,2.0,971115276
126,590,951,4.0,1264794190
127,388,4039,3.0,1386689494
128,201,2174,4.0,939821323
129,587,1028,4.0,953138012
130,28,6552,2.5,1237619395
131,555,3574,1.0,978842219
132,307,1328,0.5,1186084961
133,559,491,3.0,845476276
134,401,5218,3.5,1514347527
135,305,4239,3.5,1460303109
136,24,5418,4.0,1458941561
137,414,2006,2.0,1008691064
138,555,592,3.0,978749155
139,12,256,5.0,1247263375
140,448,3398,4.0,1092830342
141,73,86332,5.0,1464275342
142,385,1246,4.0,865026351
143,590,500,2.5,1258420556
144,274,48780,3.5,1177387076
145,121,595,3.0,847655945
146,603,1202,4.0,953928361
147,177,81932,4.0,1435525431
148,512,2,3.0,841449636
149,610,122924,3.5,1493845868
150,607,4015,1.0,997847387
151,72,1962,3.5,1217324659
152,202,480,4.0,974918825
153,219,4701,2.5,1194681445
154,483,1220,3.0,1181494985
155,389,733,5.0,857934242
156,610,60040,3.5,1493845556
157,177,6958,2.5,1435837751
158,339,1247,3.0,1460182534
159,274,2133,3.0,1288866272
160,409,1244,3.0,967920079
161,608,170,4.5,1117504807
162,4,2858,5.0,964539140
163,592,432,3.0,837350148
164,50,909,3.0,1514239063
165,387,750,5.0,1094875990
166,219,4238,3.0,1195944582
167,543,4886,5.0,1377069078
168,484,3273,3.0,1342297866
169,574,110,5.0,834634504
170,602,173,3.0,840875801
171,587,1376,4.0,953142126
172,567,164179,4.0,1525284805
173,608,6868,2.0,1117337067
174,351,4878,3.5,1333037601
175,514,26133,5.0,1535943975
176,200,2572,5.0,1229876838
177,380,3698,4.0,1495475915
178,606,3578,3.5,1171323835
179,428,2947,3.0,1111523497
180,523,31658,5.0,1503125963
181,266,1732,5.0,946506300
182,111,6187,3.5,1516144177
183,479,2700,5.0,1039367616
184,15,7438,3.0,1510572163
185,318,53894,4.0,1434395002
186,232,69122,4.0,1247190936
187,288,34048,3.0,1147093480
188,62,87520,2.0,1523788921
189,274,2587,4.0,1172033132
190,57,3681,4.0,965798574
191,226,3034,4.0,1095713349
192,474,4128,3.0,1118006535
193,191,427,1.0,829760897
194,477,1517,3.5,1200939952
195,217,2391,4.0,955942917
196,322,2882,2.5,1217675439
197,3,2851,5.0,1306463925
198,413,6378,5.0,1484439929
199,603,1958,4.0,953928203
200,102,593,4.0,835875943
201,567,102088,2.0,1525288435
202,510,750,4.5,1141158725
203,408,85412,4.0,1469351893
204,249,3615,3.5,1356439579
205,75,168,4.0,1158967185
206,610,90600,3.5,1493847740
207,471,8360,2.0,1496671908
208,410,4268,3.0,990728072
209,232,3977,3.0,1192670361
210,474,7762,3.5,1150143098
211,369,1356,3.5,1237082902
212,199,3998,3.0,1018206697
213,599,27306,1.5,1498503982
214,140,1250,5.0,942841937
215,83,7669,4.0,1332840342
216,567,142448,2.5,1525287922
217,182,3825,3.0,1063282704
218,105,1281,5.0,1447574313
219,600,2107,3.0,1237760501
220,244,3256,4.0,975090685
221,141,4896,3.0,1513130260
222,489,1186,4.0,1333232042
223,414,2816,1.0,991145383
224,497,131739,3.0,1429127171
225,372,1197,4.0,874414948
226,219,832,2.0,1200978047
227,234,1582,3.0,1004409049
228,414,477,3.5,1157472172
229,288,3771,3.0,976138069
230,298,72641,1.5,1447598782
231,356,4370,3.5,1229143565
232,490,4226,4.0,1334940351
233,297,1089,5.0,900871748
234,318,924,3.5,1312876245
235,307,32011,1.5,1189607323
236,234,2616,3.0,1004408531
237,265,608,4.0,965316088
238,19,1597,2.0,965711237
239,298,3301,2.5,1447598333
240,438,193,1.0,1105667336
241,555,3572,2.0,978842219
242,156,1077,4.0,946799495
